start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
291731,293412,1,walk,64,0,0,79,136,981,-11,17,0,12,34,-8,97,140,981,54,196,233
293412,295090,1,walk,64,0,0,49,113,987,-17,-8,3,-25,24,142,65,118,987,50,136,291
295090,296776,1,walk,64,0,0,90,92,984,13,-15,0,10,-13,-43,111,95,984,101,179,325
296776,298459,1,walk,64,0,0,72,121,982,2,15,-2,6,-16,-31,93,127,982,81,179,233
298459,300141,1,walk,64,0,0,64,109,985,-8,-5,1,-17,11,268,81,113,985,112,133,417
300141,301819,1,walk,64,0,0,34,111,985,-25,0,1,-4,88,320,76,116,985,107,211,421
301819,303504,1,walk,64,0,0,-6,85,989,-21,-14,2,42,24,53,54,94,989,96,187,320
303504,305196,1,walk,64,0,0,-23,77,991,-19,-11,1,-34,-3,-42,55,87,991,110,179,276
305196,306874,1,walk,64,0,0,46,99,988,31,13,-1,42,-19,44,67,106,988,110,195,216
306874,308556,1,walk,64,0,0,61,103,987,16,2,0,-15,-33,-202,79,111,987,118,97,444
308556,310241,1,walk,64,0,0,41,80,988,-8,-12,0,-41,16,-127,67,97,988,158,157,333
310241,311914,1,walk,64,0,0,-17,56,993,-35,-16,2,-41,31,235,60,62,993,93,180,411
