start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
191897,193631,2,stairs,64,0,0,-175,-55,970,11,48,3,111,-64,-76,191,76,971,204,192,263
193631,195366,2,stairs,64,0,0,-71,-39,990,59,19,10,-41,-112,-778,87,53,990,251,284,849
195366,197103,2,stairs,64,0,0,-187,-47,974,-56,2,-6,74,188,-502,195,58,975,188,275,584
197103,198823,2,stairs,64,0,0,-187,-8,976,-7,16,0,22,54,79,191,59,976,106,196,231
198823,200536,2,stairs,64,0,0,-169,-5,978,3,7,0,-1,8,69,179,52,978,132,99,173
200536,202269,2,stairs,64,0,0,-168,-29,977,3,-3,0,21,-12,-260,177,69,977,157,116,266
202269,204012,2,stairs,64,0,0,-161,-96,975,2,-43,-1,6,-41,-877,168,112,975,144,236,939
204012,205751,2,stairs,64,0,0,-227,-40,965,-40,26,-6,86,166,-465,235,70,965,184,217,566
205751,207468,2,stairs,64,0,0,-226,-6,967,-3,21,0,66,31,17,233,39,967,143,148,172
207468,209202,2,stairs,64,0,0,-210,-23,970,8,-6,1,-22,-9,4,216,59,970,192,195,156
209202,210936,2,stairs,64,0,0,-202,-73,969,9,-27,0,24,-20,-466,209,87,969,241,181,569
210936,212680,2,stairs,64,0,0,-162,-89,974,21,-13,2,34,9,-1065,171,103,974,132,207,1104
212680,214415,2,stairs,64,0,0,-233,-35,964,-36,22,-5,65,151,-145,240,65,964,138,244,307
214415,216146,2,stairs,64,0,0,-192,-1,973,25,31,5,34,-21,98,204,61,973,84,162,185
216146,217873,2,stairs,64,0,0,-248,-25,960,-34,-4,-7,31,60,-123,254,68,960,118,158,188
217873,219619,2,stairs,64,0,0,-249,-85,954,-8,-49,-6,16,-32,-815,255,111,955,143,211,986
219619,221354,2,stairs,64,0,0,-235,-30,962,1,30,3,146,88,-674,241,63,963,211,213,737
221354,223082,2,stairs,64,0,0,-198,-6,972,24,16,7,72,10,-18,205,65,972,209,285,283
223082,224815,2,stairs,64,0,0,-203,-14,967,9,-3,0,-14,-26,-114,214,67,967,192,214,177
224815,226550,2,stairs,64,0,0,-166,-56,971,14,-33,0,-7,8,-455,185,98,972,159,192,601
226550,228295,2,stairs,64,0,0,-167,-115,969,8,-26,0,39,47,-849,174,140,969,208,263,909
228295,230019,2,stairs,64,0,0,-173,-1,977,0,56,4,115,71,-167,183,49,977,167,185,364
230019,231750,2,stairs,64,0,0,-215,-10,968,-26,10,-4,-6,104,73,222,61,968,170,215,166
231750,233487,2,stairs,64,0,0,-229,-24,966,-9,-12,-1,-4,-19,-64,235,58,966,149,124,275
233487,235229,2,stairs,64,0,0,-180,-106,970,26,-50,1,33,-81,-951,189,116,971,153,128,983
235229,236965,2,stairs,64,0,0,-183,-27,972,-8,37,0,77,135,-668,196,52,972,165,221,773
236965,238691,2,stairs,64,0,0,-206,12,971,-1,28,1,69,24,59,217,35,972,192,153,187
238691,240420,2,stairs,64,0,0,-147,-15,983,30,-5,6,5,-28,-29,153,46,983,163,164,286
240420,242162,2,stairs,64,0,0,-153,-73,976,3,-39,-2,-27,0,-454,172,85,976,176,274,604
242162,243904,2,stairs,64,0,0,-103,-75,982,29,-10,2,-24,12,-713,115,111,982,184,247,837
243904,245637,2,stairs,64,0,0,-192,-42,971,-51,21,-6,72,190,-294,205,62,971,210,271,508
